#Droga
350; -500; 800; -200; -500; 800;
-200; -500; 800; -200; -500; 2550;
-200; -500; 2550; 350; -500; 2550;
350; -500; 2550; 350; -500; 800;

## BUDYNEK PRAWY PRZOD
# Podloga
700; -500; 1250; 400; -500; 1250;
400; -500; 1250; 400; -500; 1900;
400; -500; 1900; 700; -500; 1900;
700; -500; 1900; 700; -500; 1250;
#Sufit
700; -400; 1250; 400; -400; 1250;
400; -400; 1250; 400; -400; 1900;
400; -400; 1900; 700; -400; 1900;
700; -400; 1900; 700; -400; 1250;
#Sciana przod
700; -500; 1250; 400; -500; 1250;
400; -500; 1250; 400; -400; 1250;
400; -400; 1250; 700; -400; 1250;
700; -400; 1250; 700; -500; 1250;
#Sciana tyl
700; -500; 1900; 400; -500; 1900;
400; -500; 1900; 400; -400; 1900;
400; -400; 1900; 700; -400; 1900;
700; -400; 1900; 700; -500; 1900;
#Sciana lewa
400; -500; 1250; 400; -500; 1900;
400; -500; 1900; 400; -400; 1900;
400; -400; 1900; 400; -400; 1250;
400; -500; 1250; 400; -400; 1250;
#Sciana prawa
700; -500; 1900; 700; -500; 1250;
700; -500; 1250; 700; -400; 1250;
700; -400; 1250; 700; -400; 1900;
700; -500; 1900; 700; -400; 1900;

## BUDYNEK PRAWY TYL
#Podloga
800; -500; 2000; 510; -500; 2000;
510; -500; 2000; 510; -500; 2550;
510; -500; 2550; 800; -500; 2550;
800; -500; 2550; 800; -500; 2000;
#Sufit
800; 300; 2000; 510; 300; 2000;
510; 300; 2000; 510; 300; 2550;
510; 300; 2550; 800; 300; 2550;
800; 300; 2550; 800; 300; 2000;
#Sciana przod
800; -500; 2000; 510; -500; 2000;
510; -500; 2000; 510; 300; 2000;
510; 300; 2000; 800; 300; 2000;
800; 300; 2000; 800; -500; 2000;
#Sciana tyl
800; -500; 2550; 510; -500; 2550;
510; -500; 2550; 510; 300; 2550;
510; 300; 2550; 800; 300; 2550;
800; 300; 2550; 800; -500; 2550;
#Sciana lewa
510; -500; 2000; 510; -500; 2550;
510; -500; 2550; 510; 300; 2550;
510; 300; 2550; 510; 300; 2000;
510; 300; 2000; 510; -500; 2000;
#Sciana prawa
800; -500; 2550; 800; -500; 2000;
800; -500; 2000; 800; 300; 2000;
800; 300; 2000; 800; 300; 2550;
800; 300; 2550; 800; -500; 2550;

## BUDYNEK LEWY PRZOD
# Podloga
-270; -500; 1000; -650; -500; 1000;
-270; -500; 1000; -270; -500; 1200;
-650; -500; 1200; -270; -500; 1200;
-650; -500; 1200; -650; -500; 1000;
# Sufit
-270; 0; 1000; -650; 0; 1000;
-650; 0; 1000; -650; 0; 1200;
-650; 0; 1200; -270; 0; 1200;
-270; 0; 1000; -270; 0; 1200;
#Sciana przod
-270; -500; 1000; -650; -500; 1000;
-650; -500; 1000; -650; 0; 1000;
-650; 0; 1000; -270; 0; 1000;
-270; -500; 1000; -270; 0; 1000;
#Sciana Tyl
-270; -500; 1200; -650; -500; 1200;
-650; -500; 1200; -650; 0; 1200;
-650; 0; 1200; -270; 0; 1200;
-270; -500; 1200; -270; 0; 1200;
#Sciana lewa
-270; -500; 1000; -270; -500; 1200;
-270; 0; 1200; -270; -500; 1200;
-270; 0; 1200; -270; 0; 1000;
-270; 0; 1000; -270; -500; 1000;
#Sciana prawa
-650; -500; 1200; -650; -500; 1000;
-650; -500; 1000; -650; 0; 1000;
-650; 0; 1000; -650; 0; 1200;
-650; 0; 1200; -650; -500; 1200;

## BUDYNEK LEWY TYL
#Podloga
-220; -500; 1850; -620; -500; 1850;
-220; -500; 1850; -220; -500; 2400;
-620; -500; 2400; -220; -500; 2400;
-620; -500; 2400; -620; -500; 1850;
# Sufit
-220; -100; 1850; -620; -100; 1850;
-220; -100; 1850; -220; -100; 2400;
-620; -100; 2400; -220; -100; 2400;
-620; -100; 2400; -620; -100; 1850;
#Sciana przod
-220; -500; 1850; -620; -500; 1850;
-220; -500; 1850; -220; -100; 1850;
-620; -100; 1850; -220; -100; 1850;
-620; -500; 1850; -620; -100; 1850;
#Sciana Tyl
-220; -500; 2400; -620; -500; 2400;
-220; -500; 2400; -220; -100; 2400;
-620; -100; 2400; -220; -100; 2400;
-620; -500; 2400; -620; -100; 2400;
#Sciana lewa
-220; -500; 1850; -220; -500; 2400;
-220; -500; 2400; -220; -100; 2400;
-220; -100; 2400; -220; -100; 1850;
-220; -100; 1850; -220; -500; 1850;
#Sciana prawa
-620; -500; 2400; -620; -500; 1850;
-620; -500; 1850; -620; -100; 1850;
-620; -100; 1850; -620; -100; 2400;
-620; -100; 2400; -620; -500; 2400;
